company,policy_date,policy_keywords,policy_url,policy_length,policy_path
1password,2017-02-02 00:00:00,"20170202, master, privacy, services, access, password, information, account, service, policy, secure, data",7772,https://1password.com/legal/privacy/privacy-20170202/,1password/1password-2017-02-02.txt
1password,2017-03-16 00:00:00,"20170316, manager, privacy, services, access, password, information, account, provide, service, policy, secure, data",8096,https://1password.com/legal/privacy/privacy-20170316/,1password/1password-2017-03-16.txt
1password,2017-08-02 00:00:00,"manager, privacy, services, access, 1password, password, information, account, provide, service, policy, 2017082, secure, data",8457,https://1password.com/legal/privacy/privacy-20170802/,1password/1password-2017-08-02.txt
1password,2018-03-15 00:00:00,"secret, manager, master, privacy, services, password, 20180315, information, account, provide, service, policy, secure, data",15375,https://1password.com/legal/privacy/privacy-20180315/,1password/1password-2018-03-15.txt
1password,2018-04-04 00:00:00,"secret, manager, master, privacy, services, password, information, account, provide, 20180404, service, policy, secure, data",15372,https://1password.com/legal/privacy/privacy-20180404/,1password/1password-2018-04-04.txt
1password,2018-05-11 00:00:00,"secret, master, privacy, services, password, information, account, provide, service, policy, secure, data",16048,https://1password.com/legal/privacy/privacy-20180511/,1password/1password-2018-05-11.txt
1password,2018-10-26 00:00:00,"secret, master, privacy, services, password, information, account, provide, service, policy, secure, data",16055,https://1password.com/legal/privacy/,1password/1password-2018-10-26.txt
