company,policy_date,policy_keywords,policy_url,policy_length,policy_path
fitbit,2009-09-28 00:00:00,"providers, privacy, data, information, personal, site, fitbit, service, provide, policy",12138,http://web.archive.org/web/20091004024914/http://www.fitbit.com:80/privacy,fitbit/fitbit-2009-09-28.txt
fitbit,2011-08-08 00:00:00,"privacy, information, personal, site, policy, fitbit, products, service, user, account",14763,http://web.archive.org/web/20111228134222/http://www.fitbit.com:80/privacy,fitbit/fitbit-2011-08-08.txt
fitbit,2019-07-16 00:00:00,"privacy, data, information, policy, fitbit, provide, used, contact, cookies, account",21106,http://web.archive.org/web/20140904031920/http://www.fitbit.com/privacy,fitbit/fitbit-2019-07-16.txt
fitbit,2014-12-09 00:00:00,"privacy, data, information, policy, fitbit, service, provide, used, contact, account",20539,http://web.archive.org/web/20150103022306/http://www.fitbit.com/privacy,fitbit/fitbit-2014-12-09.txt
fitbit,2019-07-16 00:00:00,"privacy, data, information, policy, fitbit, service, email, legal, used, contact, account",19273,http://web.archive.org/web/20160123082727/http://www.fitbit.com/legal/privacy-policy,fitbit/fitbit-2019-07-16.txt
fitbit,2015-03-16 00:00:00,"privacy, data, information, policy, fitbit, service, email, legal, used, contact, account",18817,http://web.archive.org/web/20170330214550/https://www.fitbit.com/legal/privacy-policy,fitbit/fitbit-2015-03-16.txt
